tag_personaje,alias_personaje,popularidad,tag_franquicia
mayano_top_gun_(umamusume),mayano top gun|mayano|gun,3722,umamusume
narita_brian_(umamusume),brian narita|narita brian|narita|brian,2792,umamusume
admire_vega_(umamusume),admire vega|vega admire|admire|vega,4111,umamusume
mihono_bourbon_(umamusume),mihono bourbon|bourbon mihono|bourbon|mihono,3920,umamusume
dantsu_flame_(umamusume),flame dantsu|dantsu flame|dantsu|flame,3085,umamusume
jungle_pocket_(umamusume),jungle pocket|pocket jungle|jungle|pocket,3275,umamusume
orfevre_(umamusume),orfevre,2900,umamusume
sirius_symboli_(umamusume),sirius symboli|symboli sirius|symboli|sirius,3267,umamusume
grass_wonder_(umamusume),wonder grass|grass wonder|wonder|grass,2978,umamusume
nakayama_festa_(umamusume),festa nakayama|nakayama festa|nakayama|festa,2857,umamusume
narita_taishin_(umamusume),taishin narita|narita taishin|taishin|narita,2607,umamusume
eishin_flash_(umamusume),eishin flash|flash eishin|eishin|flash,3372,umamusume
agnes_digital_(umamusume),digital agnes|agnes digital|digital|agnes,3352,umamusume
twin_turbo_(umamusume),turbo twin|twin turbo|turbo|twin,3352,umamusume
super_creek_(umamusume),super creek|creek super|super|creek,3234,umamusume
still_in_love_(umamusume),still in love|still|love,3235,umamusume
air_shakur_(umamusume),air shakur|shakur air|shakur|air,2474,umamusume
biwa_hayahide_(umamusume),hayahide biwa|biwa hayahide|hayahide|biwa,2157,umamusume
gold_ship_(red_strife)_(umamusume),gold ship|ship gold|gold|ship,3188,umamusume
air_groove_(umamusume),groove air|air groove|groove|air,3102,umamusume
meisho_doto_(umamusume),doto meisho|meisho doto|meisho|doto,2988,umamusume
mr._c.b._(umamusume),c.b. mr.|mr. c.b.|c.b.|mr.,2934,umamusume
verxina_(umamusume),verxina,2503,umamusume
matikanetannhauser_(umamusume),matikanetannhauser,3000,umamusume
doctor_(arknights),doctor,13002,arknights
amiya_(arknights),amiya,12177,arknights
texas_(arknights),texas,8622,arknights
lappland_(arknights),lappland,7205,arknights
kal'tsit_(arknights),kaltsit,6510,arknights
suzuran_(arknights),suzuran,6859,arknights
exusiai_(arknights),exusiai,5761,arknights
skadi_(arknights),skadi,6922,arknights
angelina_(arknights),angelina,6038,arknights
surtr_(arknights),surtr,5338,arknights
w_(arknights),,4826,arknights
ch'en_(arknights),chen,4526,arknights
shu_(arknights),shu,5031,arknights
mudrock_(arknights),mudrock,4295,arknights
mostima_(arknights),mostima,3635,arknights
dusk_(arknights),dusk,4169,arknights
specter_(arknights),specter,3003,arknights
endministrator_(arknights),endministrator,3496,arknights
saria_(arknights),saria,2371,arknights
nian_(arknights),nian,3493,arknights
skadi_the_corrupting_heart_(arknights),skadi the corrupting heart|heart|skadi,2845,arknights
goldenglow_(arknights),goldenglow,2616,arknights
irene_(arknights),irene,2567,arknights
sussurro_(arknights),sussurro,2580,arknights
male_doctor_(arknights),male doctor|doctor male|doctor|male,2105,arknights
female_endministrator_(arknights),endministrator female|female endministrator|endministrator|female,2581,arknights
eyjafjalla_(arknights),eyjafjalla,2282,arknights
yvonne_(arknights),yvonne,2066,arknights
perlica_(arknights),perlica,2629,arknights
blue_poison_(arknights),poison blue|blue poison|poison|blue,1904,arknights
hoshiguma_(arknights),hoshiguma,2313,arknights
virtuosa_(arknights),virtuosa,2066,arknights
schwarz_(arknights),schwarz,1739,arknights
ho'olheyak_(arknights),hoolheyak,2305,arknights
muelsyse_(arknights),muelsyse,2104,arknights
mon3tr_(arknights),mon3tr,2224,arknights
chongyue_(arknights),chongyue,2008,arknights
blaze_(arknights),blaze,1748,arknights
fiammetta_(arknights),fiammetta,1515,arknights
reed_(arknights),reed,1892,arknights
siege_(arknights),siege,1796,arknights
rossi_(arknights),rossi,2140,arknights
la_pluma_(arknights),la pluma|pluma la|pluma|la,1870,arknights
texas_the_omertosa_(arknights),texas the omertosa|omertosa|texas,1719,arknights
silence_(arknights),silence,1548,arknights
mountain_(arknights),mountain,2026,arknights
chen_qianyu_(arknights),chen qianyu|qianyu chen|qianyu|chen,1683,arknights
lemuen_(arknights),lemuen,1669,arknights
gilberta_(arknights),gilberta,1581,arknights
theresa_(arknights),theresa,1855,arknights
hatsune_miku,hatsune miku|miku hatsune|hatsune|miku,146070,vocaloid
kagamine_rin,rin kagamine|kagamine rin|kagamine|rin,26299,vocaloid
kagamine_len,kagamine len|len kagamine|kagamine|len,17240,vocaloid
megurine_luka,megurine luka|luka megurine|megurine|luka,13953,vocaloid
kaito_(vocaloid),kaito,9019,vocaloid
yuzuki_yukari,yuzuki yukari|yukari yuzuki|yuzuki|yukari,9836,vocaloid
meiko_(vocaloid),meiko,7013,vocaloid
gumi,gumi,6017,vocaloid
yuki_miku,yuki miku|miku yuki|yuki|miku,5184,vocaloid
magical_mirai_miku,magical mirai miku|magical|miku,2830,vocaloid
sakura_miku,sakura miku|miku sakura|sakura|miku,3451,vocaloid
ia_(vocaloid),ia,2709,vocaloid
brazilian_miku,miku brazilian|brazilian miku|brazilian|miku,2294,vocaloid
yowane_haku,haku yowane|yowane haku|yowane|haku,1944,vocaloid
akita_neru,akita neru|neru akita|akita|neru,2304,vocaloid
rabbit_yukine,rabbit yukine|yukine rabbit|yukine|rabbit,2073,vocaloid
racing_miku,racing miku|miku racing|racing|miku,1780,vocaloid
kamui_gakupo,kamui gakupo|gakupo kamui|gakupo|kamui,1780,vocaloid
flower_(vocaloid),flower,1172,vocaloid
hatsune_miku_(append),hatsune miku|miku hatsune|hatsune|miku,1621,vocaloid
otomachi_una,una otomachi|otomachi una|otomachi|una,1692,vocaloid
luo_tianyi,tianyi luo|luo tianyi|tianyi|luo,1136,vocaloid
kaai_yuki,yuki kaai|kaai yuki|yuki|kaai,1171,vocaloid
flower_(vocaloid4),flower,860,vocaloid
takoluka,takoluka,1038,vocaloid
hachune_miku,miku hachune|hachune miku|hachune|miku,667,vocaloid
master_(vocaloid),master,890,vocaloid
25-ji_miku,25-ji miku|miku 25-ji|25-ji|miku,828,vocaloid
cinnamiku,cinnamiku,958,vocaloid
chibi_miku,miku chibi|chibi miku|chibi|miku,834,vocaloid
yuki_miku_(2011),yuki miku|miku yuki|yuki|miku,632,vocaloid
riliane_lucifen_d'autriche,riliane lucifen dautriche|dautriche|riliane,725,vocaloid
allen_avadonia,allen avadonia|avadonia allen|avadonia|allen,514,vocaloid
kaito_(vocaloid3),kaito,435,vocaloid
symphony_miku,miku symphony|symphony miku|symphony|miku,769,vocaloid
hatsune_miku_(vocaloid4),hatsune miku|miku hatsune|hatsune|miku,606,vocaloid
racing_miku_(2022),racing miku|miku racing|racing|miku,704,vocaloid
hatsune_miku_(vocaloid6),hatsune miku|miku hatsune|hatsune|miku,413,vocaloid
leo/need_miku,miku leo/need|leo/need miku|leo/need|miku,316,vocaloid
seeu,seeu,763,vocaloid
hatsune_miku_(nt),hatsune miku|miku hatsune|hatsune|miku,670,vocaloid
hatsune_mikuo,hatsune mikuo|mikuo hatsune|hatsune|mikuo,573,vocaloid
meloetta,meloetta,834,vocaloid
meloetta_(aria),meloetta,738,vocaloid
yuki_miku_(2021),yuki miku|miku yuki|yuki|miku,345,vocaloid
magical_mirai_miku_(2018),magical mirai miku|magical|miku,301,vocaloid
sf-a2_miki,miki sf-a2|sf-a2 miki|sf-a2|miki,827,vocaloid
aimaina,aimaina,399,vocaloid
psychic_miku_(project_voltage),miku psychic|psychic miku|psychic|miku,351,vocaloid
yuezheng_ling,yuezheng ling|ling yuezheng|yuezheng|ling,326,vocaloid
trailblazer_(honkai:_star_rail),trailblazer,21357,honkai_(series)
firefly_(honkai:_star_rail),firefly,16662,honkai_(series)
elysia_(honkai_impact),elysia,13517,honkai_(series)
stelle_(honkai:_star_rail),stelle,13274,honkai_(series)
phainon_(honkai:_star_rail),phainon,10512,honkai_(series)
caelus_(honkai:_star_rail),caelus,8953,honkai_(series)
cyrene_(honkai:_star_rail),cyrene,9032,honkai_(series)
kafka_(honkai:_star_rail),kafka,8075,honkai_(series)
march_7th_(honkai:_star_rail),march 7th|7th march|march|7th,9690,honkai_(series)
sparkle_(honkai:_star_rail),sparkle,7997,honkai_(series)
kiana_kaslana,kiana kaslana|kaslana kiana|kaslana|kiana,7889,honkai_(series)
acheron_(honkai:_star_rail),acheron,6799,honkai_(series)
raiden_mei,mei raiden|raiden mei|raiden|mei,5796,honkai_(series)
mydei_(honkai:_star_rail),mydei,6454,honkai_(series)
robin_(honkai:_star_rail),robin,5469,honkai_(series)
silver_wolf_(honkai:_star_rail),wolf silver|silver wolf|silver|wolf,6102,honkai_(series)
cyrene_(demiurge)_(honkai:_star_rail),cyrene,5832,honkai_(series)
dan_heng_(honkai:_star_rail),heng dan|dan heng|heng|dan,5043,honkai_(series)
herta_(honkai:_star_rail),herta,4825,honkai_(series)
bronya_zaychik,bronya zaychik|zaychik bronya|zaychik|bronya,5000,honkai_(series)
elysia_(herrscher_of_human:_ego)_(honkai_impact),elysia,4688,honkai_(series)
aventurine_(honkai:_star_rail),aventurine,4460,honkai_(series)
fu_hua,hua fu|fu hua|hua|fu,5226,honkai_(series)
the_herta_(honkai:_star_rail),the herta|herta the|herta|the,3555,honkai_(series)
elysia_(miss_pink_elf)_(honkai_impact),elysia,4329,honkai_(series)
cyrene_(philia093)_(honkai:_star_rail),cyrene,3691,honkai_(series)
march_7th_(preservation)_(honkai:_star_rail),march 7th|7th march|march|7th,4432,honkai_(series)
castorice_(honkai:_star_rail),castorice,4584,honkai_(series)
blade_(honkai:_star_rail),blade,3649,honkai_(series)
black_swan_(honkai:_star_rail),black swan|swan black|black|swan,3282,honkai_(series)
seele_vollerei,vollerei seele|seele vollerei|vollerei|seele,3633,honkai_(series)
sunday_(honkai:_star_rail),sunday,3108,honkai_(series)
ruan_mei_(honkai:_star_rail),ruan mei|mei ruan|ruan|mei,2625,honkai_(series)
theresa_apocalypse,apocalypse theresa|theresa apocalypse|apocalypse|theresa,2708,honkai_(series)
yae_sakura,yae sakura|sakura yae|sakura|yae,2658,honkai_(series)
evernight_(honkai:_star_rail),evernight,2742,honkai_(series)
hyacine_(honkai:_star_rail),hyacine,2660,honkai_(series)
anaxa_(honkai:_star_rail),anaxa,2570,honkai_(series)
rita_rossweisse,rita rossweisse|rossweisse rita|rossweisse|rita,2136,honkai_(series)
cipher_(honkai:_star_rail),cipher,2630,honkai_(series)
dr._ratio_(honkai:_star_rail),dr. ratio|ratio dr.|ratio|dr.,2295,honkai_(series)
himeko_(honkai:_star_rail),himeko,2267,honkai_(series)
bronya_zaychik_(silverwing:_n-ex),bronya zaychik|zaychik bronya|zaychik|bronya,1744,honkai_(series)
aglaea_(honkai:_star_rail),aglaea,2309,honkai_(series)
topaz_(honkai:_star_rail),topaz,2015,honkai_(series)
elysia_(hi_love_elf)_(honkai_impact),elysia,1957,honkai_(series)
sparxie_(honkai:_star_rail),sparxie,2006,honkai_(series)
herrscher_of_sentience,herrscher of sentience|sentience|herrscher,2102,honkai_(series)
kiana_kaslana_(herrscher_of_finality),kiana kaslana|kaslana kiana|kaslana|kiana,1639,honkai_(series)
raiden_mei_(herrscher_of_thunder),mei raiden|raiden mei|raiden|mei,1645,honkai_(series)
manjuu_(azur_lane),manjuu,11245,azur_lane
bremerton_(azur_lane),bremerton,5468,azur_lane
taihou_(azur_lane),taihou,6436,azur_lane
atago_(azur_lane),atago,4890,azur_lane
sirius_(azur_lane),sirius,4311,azur_lane
prinz_eugen_(azur_lane),prinz eugen|eugen prinz|eugen|prinz,4971,azur_lane
unicorn_(azur_lane),unicorn,3704,azur_lane
belfast_(azur_lane),belfast,4374,azur_lane
commander_(azur_lane),commander,4947,azur_lane
formidable_(azur_lane),formidable,5037,azur_lane
enterprise_(azur_lane),enterprise,2820,azur_lane
illustrious_(azur_lane),illustrious,3346,azur_lane
ayanami_(azur_lane),ayanami,3435,azur_lane
laffey_(azur_lane),laffey,2969,azur_lane
kaga_(azur_lane),kaga,2858,azur_lane
takao_(azur_lane),takao,2781,azur_lane
akagi_(azur_lane),akagi,2655,azur_lane
le_malin_(azur_lane),malin le|le malin|malin|le,1896,azur_lane
st._louis_(azur_lane),louis st.|st. louis|louis|st.,2421,azur_lane
javelin_(azur_lane),javelin,2188,azur_lane
bremerton_(scorching-hot_training)_(azur_lane),bremerton,1730,azur_lane
kashino_(azur_lane),kashino,1663,azur_lane
shinano_(azur_lane),shinano,2160,azur_lane
amagi_(azur_lane),amagi,1392,azur_lane
z23_(azur_lane),z23,1979,azur_lane
baltimore_(azur_lane),baltimore,1857,azur_lane
honolulu_(azur_lane),honolulu,1949,azur_lane
dido_(azur_lane),dido,1642,azur_lane
nagato_(azur_lane),nagato,1538,azur_lane
zara_(azur_lane),zara,1475,azur_lane
cheshire_(azur_lane),cheshire,1405,azur_lane
new_jersey_(azur_lane),new jersey|jersey new|jersey|new,1673,azur_lane
yamashiro_(azur_lane),yamashiro,1235,azur_lane
hindenburg_(azur_lane),hindenburg,948,azur_lane
musashi_(azur_lane),musashi,1260,azur_lane
st._louis_(luxurious_wheels)_(azur_lane),louis st.|st. louis|louis|st.,1120,azur_lane
cleveland_(azur_lane),cleveland,1002,azur_lane
akashi_(azur_lane),akashi,1043,azur_lane
yuudachi_(azur_lane),yuudachi,1023,azur_lane
bismarck_(azur_lane),bismarck,1141,azur_lane
sirius_(azure_horizons)_(azur_lane),sirius,930,azur_lane
graf_zeppelin_(azur_lane),graf zeppelin|zeppelin graf|zeppelin|graf,1016,azur_lane
friedrich_der_grosse_(azur_lane),friedrich der grosse|friedrich|grosse,910,azur_lane
aegir_(azur_lane),aegir,1455,azur_lane
roon_(azur_lane),roon,1099,azur_lane
prinz_eugen_(unfading_smile)_(azur_lane),prinz eugen|eugen prinz|eugen|prinz,1185,azur_lane
jean_bart_(azur_lane),bart jean|jean bart|jean|bart,1161,azur_lane
implacable_(azur_lane),implacable,1122,azur_lane
kisaragi_(azur_lane),kisaragi,1035,azur_lane
sirius_(scorching-hot_seirios)_(azur_lane),sirius,829,azur_lane
hinoshita_kaho,kaho hinoshita|hinoshita kaho|hinoshita|kaho,9097,love_live!
nishikino_maki,maki nishikino|nishikino maki|nishikino|maki,8398,love_live!
sonoda_umi,sonoda umi|umi sonoda|sonoda|umi,7750,love_live!
tojo_nozomi,tojo nozomi|nozomi tojo|nozomi|tojo,7807,love_live!
yazawa_nico,nico yazawa|yazawa nico|yazawa|nico,7828,love_live!
fujishima_megumi,fujishima megumi|megumi fujishima|fujishima|megumi,7548,love_live!
ayase_eli,ayase eli|eli ayase|ayase|eli,7261,love_live!
watanabe_you,watanabe you|you watanabe|watanabe|you,6762,love_live!
momose_ginko,ginko momose|momose ginko|momose|ginko,7216,love_live!
murano_sayaka,sayaka murano|murano sayaka|sayaka|murano,7068,love_live!
otomune_kozue,otomune kozue|kozue otomune|otomune|kozue,7247,love_live!
osawa_rurino,rurino osawa|osawa rurino|rurino|osawa,6620,love_live!
minami_kotori,minami kotori|kotori minami|kotori|minami,5880,love_live!
kachimachi_kosuzu,kachimachi kosuzu|kosuzu kachimachi|kachimachi|kosuzu,5460,love_live!
anyoji_hime,anyoji hime|hime anyoji|anyoji|hime,5955,love_live!
yugiri_tsuzuri,yugiri tsuzuri|tsuzuri yugiri|tsuzuri|yugiri,5807,love_live!
kosaka_honoka,honoka kosaka|kosaka honoka|kosaka|honoka,5297,love_live!
hoshizora_rin,hoshizora rin|rin hoshizora|hoshizora|rin,5140,love_live!
sakurauchi_riko,riko sakurauchi|sakurauchi riko|sakurauchi|riko,4366,love_live!
tsushima_yoshiko,yoshiko tsushima|tsushima yoshiko|tsushima|yoshiko,4587,love_live!
takami_chika,chika takami|takami chika|takami|chika,4086,love_live!
koizumi_hanayo,koizumi hanayo|hanayo koizumi|koizumi|hanayo,4240,love_live!
yuki_setsuna,yuki setsuna|setsuna yuki|setsuna|yuki,3550,love_live!
ceras_yanagida_lilienfeld,ceras yanagida lilienfeld|lilienfeld|ceras,3137,love_live!
matsuura_kanan,matsuura kanan|kanan matsuura|matsuura|kanan,3266,love_live!
uehara_ayumu,uehara ayumu|ayumu uehara|uehara|ayumu,3583,love_live!
kurosawa_ruby,ruby kurosawa|kurosawa ruby|kurosawa|ruby,2870,love_live!
takasaki_yu,yu takasaki|takasaki yu|takasaki|yu,2837,love_live!
shibuya_kanon,kanon shibuya|shibuya kanon|shibuya|kanon,2527,love_live!
kurosawa_dia,dia kurosawa|kurosawa dia|kurosawa|dia,3075,love_live!
osaka_shizuku,osaka shizuku|shizuku osaka|shizuku|osaka,2862,love_live!
ohara_mari,ohara mari|mari ohara|ohara|mari,2603,love_live!
kunikida_hanamaru,hanamaru kunikida|kunikida hanamaru|kunikida|hanamaru,2844,love_live!
tennoji_rina,rina tennoji|tennoji rina|tennoji|rina,2536,love_live!
nakasu_kasumi,kasumi nakasu|nakasu kasumi|nakasu|kasumi,2505,love_live!
emma_verde,emma verde|verde emma|verde|emma,2485,love_live!
mifune_shioriko,shioriko mifune|mifune shioriko|shioriko|mifune,2204,love_live!
asaka_karin,karin asaka|asaka karin|asaka|karin,2203,love_live!
miyashita_ai,ai miyashita|miyashita ai|miyashita|ai,2290,love_live!
katsuragi_izumi,katsuragi izumi|izumi katsuragi|katsuragi|izumi,1942,love_live!
tang_keke,keke tang|tang keke|keke|tang,1783,love_live!
konoe_kanata,konoe kanata|kanata konoe|kanata|konoe,2146,love_live!
heanna_sumire,sumire heanna|heanna sumire|heanna|sumire,1812,love_live!
arashi_chisato,chisato arashi|arashi chisato|chisato|arashi,1428,love_live!
mia_taylor,taylor mia|mia taylor|taylor|mia,1310,love_live!
wakana_shiki,wakana shiki|shiki wakana|wakana|shiki,1194,love_live!
wien_margarete,margarete wien|wien margarete|margarete|wien,715,love_live!
zhong_lanzhu,lanzhu zhong|zhong lanzhu|lanzhu|zhong,1305,love_live!
hazuki_ren,hazuki ren|ren hazuki|hazuki|ren,1171,love_live!
onitsuka_natsumi,natsumi onitsuka|onitsuka natsumi|onitsuka|natsumi,819,love_live!
